iter	Passed	Remaining
0	162	97052
1	251	75050
2	363	72412
3	459	68484
4	562	66980
5	659	65266
6	757	64164
7	859	63574
8	966	63448
9	1071	63234
10	1170	62667
11	1261	61816
12	1354	61147
13	1447	60597
14	1537	59962
15	1634	59651
16	1733	59438
17	1822	58930
18	2000	61179
19	2098	60862
20	2203	60741
21	2302	60480
22	2486	62374
23	2631	63161
24	2774	63802
25	2858	63105
26	2966	62965
27	3075	62828
28	3221	63423
29	3327	63219
30	3415	62692
31	3544	62911
32	3648	62685
33	3762	62641
34	3859	62302
35	4015	62910
36	4110	62539
37	4242	62739
38	4332	62326
39	4439	62155
40	4538	61878
41	4636	61592
42	4736	61359
43	4846	61240
44	4949	61044
45	5052	60853
46	5158	60692
47	5263	60533
48	5375	60444
49	5531	60851
50	5647	60798
51	5752	60619
52	5849	60373
53	5948	60146
54	6057	60023
55	6153	59773
56	6256	59604
57	6332	59180
58	6430	58966
59	6528	58755
60	6640	58674
61	6753	58601
62	6887	58703
63	6995	58590
64	7094	58393
65	7194	58206
66	7283	57938
67	7385	57780
68	7512	57813
69	7607	57598
70	7711	57452
71	7809	57268
72	7889	56956
73	8000	56866
74	8083	56581
75	8171	56337
76	8267	56156
77	8369	56009
78	8467	55842
79	8583	55795
80	8787	56306
81	8918	56340
82	9043	56329
83	9278	56994
84	9367	56754
85	9459	56535
86	9542	56270
87	9646	56125
88	9726	55843
89	9814	55615
90	9895	55347
91	9991	55170
92	10097	55047
93	10197	54892
94	10305	54784
95	10410	54652
96	10516	54533
97	10619	54397
98	10725	54275
99	10829	54147
100	10922	53965
101	11035	53880
102	11145	53780
103	11239	53605
104	11325	53389
105	11427	53254
106	11511	53039
107	11614	52908
108	11709	52748
109	11826	52679
110	11909	52465
111	11988	52234
112	12091	52112
113	12185	51948
114	12277	51780
115	12380	51657
116	12493	51574
117	12616	51535
118	12789	51697
119	13070	52282
120	13203	52269
121	13324	52205
122	13513	52405
123	13681	52520
124	14042	53362
125	14232	53539
126	14372	53529
127	14481	53398
128	14571	53202
129	14713	53196
130	14981	53634
131	15100	53539
132	15205	53390
133	15281	53141
